Tipologia;N_Osservazioni;Media_kWh;Mediana_kWh;StdDev_kWh;Min_kWh;Max_kWh;N_POD
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio non speciali;29;651666.5;156392.0;771416.2;368.0;2151955.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di prodotti ;33;72249.7;54212.0;68115.6;16427.0;288617.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di medicinal;33;1386050.0;1937733.0;1105823.5;34084.0;3187123.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di calzature;29;433795.5;263148.0;416308.4;9932.0;1265778.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di mobil;31;49088.3;19783.0;52045.5;11.0;160839.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di ogget;29;223640.9;136935.0;201247.7;5258.0;645825.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Coltivazione di cereali (esclus;28;28759.2;23911.5;27005.0;0.0;99673.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di calza;32;317145.4;296392.5;161921.4;42891.0;647970.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Attività degli studi di archite;33;91785.2;74237.0;90989.7;0.0;333679.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altri servizi di prenotazione e;29;888244.9;1050621.0;444357.3;107015.0;1581484.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività professionali n.;35;83910.3;28568.0;114107.9;3137.0;371787.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività di pulizia speci;34;64556.4;25180.5;86743.1;0.0;336718.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ordine pubblico e sicurezza naz;32;450320.1;539215.0;234114.7;168296.0;1030988.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Fabbricazione di altri prodotti;36;524804.8;202315.5;456954.7;73228.0;1294822.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di prodotti di pasticcer;33;423839.8;459388.0;222553.3;1860.0;769203.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di pasti e piatti prepar;33;1169452.4;32206.0;1867215.9;227.0;5627598.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Tinteggiatura e posa in opera di ve;36;228882.9;183820.5;106512.7;126875.0;645246.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Utilizzo di aree forestali         ;36;191664.9;110799.0;136359.8;64149.0;459771.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di prodotti in legno,;36;165492.1;170064.5;80600.3;49217.0;314117.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre attività di telecomunicazioni;28;2764087.1;2631029.0;581734.3;2069170.0;4015975.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di ingegneria             ;35;703962.5;681609.0;141347.4;483089.0;988594.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di organizzazioni associat;36;452734.3;488279.5;231158.5;38673.0;1047573.0;2
DOMESTICI | USI DOMESTICI NON RE | Affitto e gestione di beni immobili;36;177171.9;166912.0;81932.0;63828.0;371453.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di beni indifferenziati ;30;242873.2;14397.5;377779.9;0.0;1122257.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Preparazione del cantiere edile    ;30;49570.1;51777.5;18700.0;7755.0;87725.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti di illumi;36;437481.3;437623.0;125852.9;266886.0;772495.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi degli istituti di belle;32;216380.1;87833.0;192912.7;59975.0;684310.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Supermercati                   ;30;1388533.0;961363.0;778740.6;598148.0;3098578.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri servizi di supporto al traspo;36;293311.9;265062.0;240190.4;49909.0;644139.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ristoranti e attività di ristor;32;1672433.5;1165236.0;1362908.8;162286.0;4892534.0;2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Fabbricazione di utensileria ad;18;644371.2;663629.0;250913.3;217822.0;1068721.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Gelaterie e pasticcerie        ;13;1216249.4;1221375.0;977750.1;142.0;2607917.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività dei servizi conn;18;597350.4;174600.0;671399.9;611.0;1872818.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività di manutenzione ;18;760132.1;754528.5;72077.0;652733.0;916767.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altri servizi di istruzione n.c;17;105137.2;105074.0;12017.7;70081.0;121019.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività professionali, s;14;1049553.4;984746.5;385532.1;498426.0;1585742.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Confezione di articoli in pelli;15;35347.6;12016.0;63263.8;10216.0;253446.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Confezione di altro abbigliamen;18;50657.5;50870.5;5472.4;42310.0;61901.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Compravendita di beni immobili ;14;6108.1;5902.5;1300.9;4225.0;9439.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Discount di alimentari         ;18;1264943.5;1170239.0;229590.0;1031424.0;1677411.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Coltivazione di fiori in coltur;18;133207.2;125645.0;28211.5;97890.0;200906.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Attività degli orti botanici, d;15;540063.3;743998.0;384224.2;31876.0;1039576.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di gener;15;975054.4;1117770.0;444903.0;360358.0;1462907.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di prodo;17;2113285.2;1806811.0;666999.0;1415049.0;3284901.0;1
