Tipologia;N_POD;PotMedia_kW;PotMediana_kW;PotMin_kW;PotMax_kW
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di calzature;2;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di mobil;2;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di ogget;2;6.5;6.5;3.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Coltivazione di cereali (esclus;2;2.25;2.25;1.5;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di calza;2;4.5;4.5;3.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Attività degli studi di archite;2;4.5;4.5;4.5;4.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altri servizi di prenotazione e;2;12.5;12.5;10.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività professionali n.;2;3.1;3.1;0.2;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività di pulizia speci;2;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ordine pubblico e sicurezza naz;2;6.5;6.5;3.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Fabbricazione di altri prodotti;2;14.0;14.0;3.0;25.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di prodotti di pasticcer;2;26.25;26.25;4.5;48.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di pasti e piatti prepar;2;17.75;17.75;15.5;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Tinteggiatura e posa in opera di ve;2;9.75;9.75;4.5;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Utilizzo di aree forestali         ;2;8.0;8.0;6.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di prodotti in legno,;2;6.25;6.25;4.5;8.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre attività di telecomunicazioni;2;10.0;10.0;10.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di ingegneria             ;2;4.5;4.5;3.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di organizzazioni associat;2;5.25;5.25;4.5;6.0
DOMESTICI | USI DOMESTICI NON RE | Affitto e gestione di beni immobili;2;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di beni indifferenziati ;2;5.5;5.5;3.0;8.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Preparazione del cantiere edile    ;2;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti di illumi;2;5.25;5.25;4.5;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi degli istituti di belle;2;9.0;9.0;3.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Supermercati                   ;2;19.0;19.0;10.0;28.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri servizi di supporto al traspo;2;4.5;4.5;4.5;4.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ristoranti e attività di ristor;2;12.5;12.5;10.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Fabbricazione di utensileria ad;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Gelaterie e pasticcerie        ;1;15.0;15.0;15.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività dei servizi conn;1;10.0;10.0;10.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività di manutenzione ;1;10.0;10.0;10.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altri servizi di istruzione n.c;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività professionali, s;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Confezione di articoli in pelli;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Confezione di altro abbigliamen;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Compravendita di beni immobili ;1;0.4;0.4;0.4;0.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Discount di alimentari         ;1;39.6;39.6;39.6;39.6
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Coltivazione di fiori in coltur;1;15.0;15.0;15.0;15.0
