POD;N_Righe;N_Mesi;Tot_NaN_Q;Tot_Celle;Completezza [%]
99999E00011750;980;16;8;94080;99.99
99999E00011751;1042;17;8;100032;99.99
99999E00011752;980;16;8;94080;99.99
99999E00011753;980;16;8;94080;99.99
99999E00011754;1042;17;8;100032;99.99
99999E00011755;1042;17;8;100032;99.99
99999E00011756;798;13;8;76608;99.99
99999E00011758;980;16;8;94080;99.99
99999E00011759;980;16;8;94080;99.99
99999E00011764;920;15;8;88320;99.99
99999E00011766;798;13;8;76608;99.99
99999E00011770;920;15;8;88320;99.99
99999E00011772;980;16;8;94080;99.99
99999E00011783;1100;18;8;105600;99.99
99999E00011787;1100;18;8;105600;99.99
99999E00011788;1100;18;8;105600;99.99
99999E00011793;1100;18;8;105600;99.99
99999E00011804;1100;18;8;105600;99.99
99999E00011809;1100;18;8;105600;99.99
99999E00011810;1042;17;8;100032;99.99
99999E00011817;1656;18;71;158976;99.96
99999E00011818;1100;18;8;105600;99.99
99999E00011819;1100;18;8;105600;99.99
99999E00011823;1100;18;8;105600;99.99
99999E00011826;1098;18;8;105408;99.99
99999E00011829;1650;18;12;158400;99.99
99999E00011831;1100;18;8;105600;99.99
99999E00011834;1100;18;8;105600;99.99
99999E00011840;1100;18;8;105600;99.99
99999E00011844;1100;18;8;105600;99.99
99999E00011854;1100;18;8;105600;99.99
99999E00011857;1042;17;8;100032;99.99
99999E00011859;1100;18;8;105600;99.99
99999E00011860;1100;18;8;105600;99.99
99999E00011862;1042;17;8;100032;99.99
99999E00011865;1100;18;8;105600;99.99
99999E00011872;1100;18;8;105600;99.99
99999E00011873;1100;18;8;105600;99.99
99999E00011874;1100;18;8;105600;99.99
99999E00011883;1100;18;8;105600;99.99
99999E00011891;798;13;8;76608;99.99
99999E00011893;1100;18;8;105600;99.99
99999E00011894;1100;18;8;105600;99.99
99999E00011900;1100;18;8;105600;99.99
99999E00011903;1100;18;8;105600;99.99
99999E00011906;1100;18;8;105600;99.99
99999E00011914;1100;18;8;105600;99.99
99999E00011916;1100;18;8;105600;99.99
99999E00011920;1042;17;8;100032;99.99
99999E00011922;1100;18;8;105600;99.99
99999E00011924;1100;18;8;105600;99.99
99999E00011926;1100;18;8;105600;99.99
99999E00011928;1100;18;8;105600;99.99
99999E00011932;1100;18;8;105600;99.99
99999E00011933;1650;18;12;158400;99.99
99999E00011937;1100;18;12;105600;99.99
99999E00011938;1100;18;8;105600;99.99
99999E00011940;1042;17;8;100032;99.99
99999E00011942;1100;18;8;105600;99.99
99999E00011943;1100;18;8;105600;99.99
99999E00011948;1100;18;8;105600;99.99
99999E00011949;1100;18;8;105600;99.99
99999E00011950;1100;18;8;105600;99.99
99999E00011951;1042;17;8;100032;99.99
99999E00011953;1100;18;8;105600;99.99
99999E00011957;920;15;8;88320;99.99
99999E00011959;920;15;8;88320;99.99
99999E00011963;920;15;8;88320;99.99
99999E00011964;980;16;8;94080;99.99
99999E00011965;1042;17;8;100032;99.99
99999E00011966;1042;17;8;100032;99.99
99999E00011979;980;16;8;94080;99.99
99999E00011980;980;16;8;94080;99.99
99999E00011982;980;16;8;94080;99.99
99999E00011984;798;13;8;76608;99.99
99999E00011985;1042;17;8;100032;99.99
99999E00011991;920;15;8;88320;99.99
99999E00011996;1100;18;8;105600;99.99
99999E00011999;1100;18;8;105600;99.99
99999E00012002;920;15;8;88320;99.99
99999E00012003;920;15;8;88320;99.99
99999E00012014;920;15;8;88320;99.99
99999E00012024;1042;17;8;100032;99.99
99999E00012028;1100;18;8;105600;99.99
99999E00012029;1100;18;8;105600;99.99
99999E00012030;1100;18;8;105600;99.99
99999E00012032;1100;18;8;105600;99.99
99999E00012034;1100;18;8;105600;99.99
99999E00012035;1100;18;8;105600;99.99
99999E00012037;1100;18;8;105600;99.99
99999E00012040;1100;18;8;105600;99.99
99999E00012050;1082;18;8;103872;99.99
99999E00012052;1100;18;8;105600;99.99
99999E00012054;1042;17;8;100032;99.99
99999E00012057;1042;17;8;100032;99.99
99999E00012058;1100;18;8;105600;99.99
99999E00012060;1100;18;8;105600;99.99
99999E00012063;1042;17;8;100032;99.99
99999E00012069;1100;18;8;105600;99.99
99999E00012075;1100;18;8;105600;99.99
99999E00012076;1100;18;8;105600;99.99
99999E00012077;980;16;8;94080;99.99
99999E00012099;798;13;8;76608;99.99
99999E00012125;980;16;8;94080;99.99
99999E00012126;920;15;8;88320;99.99
99999E00012127;980;16;8;94080;99.99
99999E00012136;980;16;8;94080;99.99
99999E00012156;920;15;8;88320;99.99
99999E00012160;920;15;8;88320;99.99
99999E00012163;920;15;8;88320;99.99
99999E00012165;980;16;8;94080;99.99
99999E00012167;798;13;8;76608;99.99
99999E00012169;798;13;8;76608;99.99
99999E00012177;980;16;8;94080;99.99
99999E00012179;980;16;8;94080;99.99
99999E00012181;890;15;8;85440;99.99
99999E00012182;1100;18;8;105600;99.99
99999E00012186;920;15;8;88320;99.99
99999E00012190;798;13;8;76608;99.99
99999E00012191;920;15;8;88320;99.99
99999E00012195;920;15;8;88320;99.99
99999E00012280;798;13;8;76608;99.99
99999E00012282;798;13;8;76608;99.99
99999E00012294;858;14;8;82368;99.99
99999E00012303;798;13;8;76608;99.99
99999E00012309;920;15;8;88320;99.99
99999E00012310;798;13;8;76608;99.99
99999E00012319;1100;18;8;105600;99.99
99999E00012331;858;14;8;82368;99.99
99999E00012332;980;16;8;94080;99.99
99999E00012347;858;14;8;82368;99.99
99999E00012351;1100;18;8;105600;99.99
99999E00012376;1042;17;8;100032;99.99
99999E00012377;1042;17;8;100032;99.99
99999E00012426;920;15;8;88320;99.99
99999E00012432;980;16;8;94080;99.99
99999E00012435;1100;18;8;105600;99.99
99999E00012440;1100;18;8;105600;99.99
99999E00012442;1100;18;8;105600;99.99
99999E00012449;1042;17;8;100032;99.99
99999E00012450;1100;18;8;105600;99.99
99999E00012467;1100;18;8;105600;99.99
99999E00012468;1100;18;8;105600;99.99
99999E00012471;1100;18;8;105600;99.99
99999E00012472;1100;18;8;105600;99.99
99999E00012473;1100;18;8;105600;99.99
99999E00012474;980;16;8;94080;99.99
99999E00012485;798;13;8;76608;99.99
