Tipologia;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-10;2024-11;2025-01;2025-03;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;Media
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Taglio e piallatura del legno  ;756399.7;743823.7;728167.3;782373.7;745116.0;881699.0;837806.0;822940.7;733626.3;683002.3;680605.0;772217.0;815436.3;834223.3;799597.7;878491.0;825238.0;868476.7;788291.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di assistenza sociale non ;857230.0;707320.0;710026.0;885417.0;566541.0;665426.0;614654.0;809714.0;853655.0;835130.0;763425.0;564670.0;718173.0;551317.0;828600.0;1099134.0;968878.0;1032091.0;779522.3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Consulenza nel settore delle te;850944.7;896653.7;842146.3;840701.7;651309.4;704762.9;709620.0;700904.4;750165.1;856396.5;787606.0;721558.5;726047.4;761152.2;724408.0;793378.5;831179.6;848858.6;777655.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività connesse alle te;1466203.0;1581816.0;1521211.0;1557847.0;739078.7;750917.3;514745.0;527152.4;524591.8;550676.6;546174.6;486224.8;491169.6;496797.4;483660.8;510690.6;475935.4;481125.0;761445.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività di manutenzione ;838764.0;816214.0;753298.0;666858.0;664207.0;781567.0;755759.0;652733.0;831319.0;916767.0;833762.0;763644.0;718433.0;750427.0;690640.0;690082.0;749681.0;808222.0;760132.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di sapon;766697.0;778458.0;728927.0;761310.0;728116.0;756539.0;709699.0;814083.0;821843.0;794928.0;734240.0;673709.0;781392.0;732660.0;708549.0;760390.0;764901.0;854697.0;759507.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività sportive                  ;1048623.0;823821.0;764849.7;725145.5;629470.2;819381.2;756212.5;910821.7;1053686.3;799458.8;643130.7;527353.7;628925.8;432541.7;554469.3;692237.7;859652.3;702247.2;742890.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di ingegneria             ;619030.0;785687.0;765265.5;732208.0;625358.5;741415.0;739850.0;757149.0;687609.5;692256.5;690829.5;574590.5;612023.5;625976.5;647059.5;732533.5;814883.5;785134.0;701603.3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di carburant;937052.0;600134.0;745132.7;689374.3;513716.7;621789.7;599447.0;1029473.0;705393.0;552901.3;466894.3;685320.0;706065.0;685368.3;640517.7;662394.0;831247.3;723823.0;688669.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Fabbricazione di utensileria ad;615375.0;533132.0;709272.0;629266.0;658478.0;815677.0;917317.0;975071.0;922087.0;744763.0;668780.0;217822.0;331865.0;469230.0;218179.0;375339.0;728308.0;1068721.0;644371.2
